"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","uDyWh 2","yYlJEf href","UbRuwe","BSaJxc","yYlJEf href 2","uDyWh 3"
"Himalayan Cash & Carry","· Convenience Store","4.4","(10)","134 Plumstead High St","· 020 8244 7271","⋅ Closes 10 pm","Open","","","","Directions","","https://www.google.com/maps/dir//Himalayan+Cash+%26+Carry,+134+Plumstead+High+St,+London+SE18+1JQ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a8cceb30fa79:0xbab6556581e87e1c?sa=X&ved=1t:57443&ictx=111",""
"Ila Cafe & Desserts","·  · Bubble tea store","4.9","(1.6K)","Unit.2, 125-131 Westminster Bridge Rd","· 020 8077 3217","£1–10","Open","""Incredible desserts, tasty  with a wide variety of options.""","bubble tea","","Directions","","https://www.google.com/maps/dir//Unit.2,+Ila+Cafe+%26+Desserts,+125-131+Westminster+Bridge+Rd,+London+SE1+7HJ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605d96b3ecdf9:0x2f84f58b3677dc87?sa=X&ved=1t:57443&ictx=111",""
"Frozen River","· Bubble tea store","4.0","(49)","129 Whitecross St","","⋅ Closes 5:30 pm","Open","""Cute , friendly staff and the  was so delicious 🤩""","bubble tea store","","Directions","","https://www.google.com/maps/dir//Frozen+River,+129+Whitecross+St,+London+EC1Y+8JL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761df4c842040f:0xe94f0c72e3e7072d?sa=X&ved=1t:57443&ictx=111","bubble tea"
"OCHAMAE BUBBLE TEA","· Bubble tea store","4.9","(83)","8a Artillery Row","· 020 7592 9190","","Permanently closed","""Amazing price, service, and great handmade  taste""","boba","","Directions","","https://www.google.com/maps/dir//OCHAMAE+BUBBLE+TEA,+8a+Artillery+Row,+London+SW1P+1RZ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605f6f8fa96ad:0xf0857274b6c84f87?sa=X&ved=1t:57443&ictx=111",""
"Mooboo Goodge Street","·  · Bubble tea store","3.8","(72)","39 Goodge St","· 07472 302130","££","Permanently closed","""The  is to die for and there are a lot of flavours to try.""","bubble tea","https://www.mooboo.co/","Directions","Website","https://www.google.com/maps/dir//Mooboo+Goodge+Street,+39+Goodge+St,+London+W1T+2PX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bccba22036b:0x480bdfd47b4ea6ed?sa=X&ved=1t:57443&ictx=111",""
"Yumi Bubble Tea","· Bubble tea store","4.1","(57)","235 Kentish Town Rd","","⋅ Closes 10 pm","Open","""the lemon honey fruit  is to die for.""","tea","","Directions","","https://www.google.com/maps/dir//Yumi+Bubble+Tea,+235+Kentish+Town+Rd,+London+NW5+2JT/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b92401fdfdf:0x15d25d0c8e705984?sa=X&ved=1t:57443&ictx=111",""
"Kova Patisserie Battersea","· Bubble tea store","4.1","(302)","Unit 211A, Turbine Hall, Battersea Power Station, Circus Rd W","","⋅ Closes 10 pm","Open","""Delicious  and fruit  - especially the passionfruit.""","bubble tea","https://www.kovapatisserie.com/","Directions","Website","https://www.google.com/maps/dir//Unit+211A,+Kova+Patisserie+Battersea,+Turbine+Hall,+Battersea+Power+Station,+Circus+Rd+W,+Nine+Elms,+London+SW11+8EZ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876053ef9384faf:0x5082737efee5d8df?sa=X&ved=1t:57443&ictx=111","tea"
"T4 Warren Street","· Bubble tea store","3.8","(88)","13 Warren St","· 020 7387 5398","⋅ Closes 7:30 pm","Open","""Oreo milk  with tapioca pearls

Tasted so good and quick service""","tea","","Directions","","https://www.google.com/maps/dir//T4+Warren+Street,+13+Warren+St,+London+W1T+5LH/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bd236127b19:0xe3c84ea90a82f933?sa=X&ved=1t:57443&ictx=111",""
"PresoTea Warren St - Fitzrovia","· Bubble tea store","4.4","(20)","53 Warren St","· 07399 334015","⋅ 3 pm","Closes soon","""Quite nice,  tastes fresh and the menu has a good variety""","tea","http://www.presotea.co.uk/","Directions","Website","https://www.google.com/maps/dir//PresoTea+Warren+St+-+Fitzrovia,+53+Warren+St,+London+W1T+5NN/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bf688ada713:0x5cf53874da2f5b3e?sa=X&ved=1t:57443&ictx=111",""
"Vapey Cakes Vape Cafe","· Bubble tea store","4.9","(75)","1a Rotherhithe New Rd","· 07812 982026","⋅ Closes 7 pm","Open","""This  is both affordable and the best  I have ever had.""","place","","Directions","","https://www.google.com/maps/dir//Vapey+Cakes+Vape+Cafe,+1a+Rotherhithe+New+Rd,+London+SE16+2AH/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487603f91cca2981:0xe20ec9bde6f690ec?sa=X&ved=1t:57443&ictx=111","bubble tea"
"","","","","","","","","","","","","","",""
