"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","uDyWh","uDyWh 2","yYlJEf href","UbRuwe","rllt__details 5","rllt__details 6","BSaJxc","yYlJEf href 2"
"Truedan Russell Square 珍煮丹","· Bubble tea store","4.9","(842)","⋅ Closes 9:30 pm","Unit K1 Brunswick Square","· 020 7833 3269","""Good selection of  and the staff are very friendly!""","bubble tea","","Directions","","Open","","https://www.google.com/maps/dir//Truedan+Russell+Square+%E7%8F%8D%E7%85%AE%E4%B8%B9,+Unit+K1+Brunswick+Square,+London+WC1N+1AW/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b7e54cbdef9:0x8170df19912d5a75?sa=X&ved=1t:57443&ictx=111"
"Bubbleology Angel","·  · Bubble tea store","4.3","(648)","££","64 Upper St","· 020 7354 5330","""I always enjoy a fresh  from this  and the staff is amazing.""","bubble tea","http://bubbleology.co.uk/","Directions","⋅ Closes 11 pm","Open","Website","https://www.google.com/maps/dir//Bubbleology+Angel,+64+Upper+St,+London+N1+0NY/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b5d61fc7579:0x6fb392a3845a0a39?sa=X&ved=1t:57443&ictx=111"
"Jen Tea茶珍圓 - Liverpool Street","· Bubble tea store","4.5","(367)","⋅ Closes 9 pm","16 Artillery Psge","· 020 7247 6331","""it is slightly on the expensive side for  but the quality is good.""","bubble tea","https://www.jentea.co.uk/","Directions","","Open","Website","https://www.google.com/maps/dir//Jen+Tea%E8%8C%B6%E7%8F%8D%E5%9C%93+-+Liverpool+Street,+16+Artillery+Psge,+London+E1+7LJ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d8793f8f747:0x5f289f7c0f616edc?sa=X&ved=1t:57443&ictx=111"
"Truedan Holborn 珍煮丹","· Bubble tea store","4.9","(302)","⋅ Closes 10 pm","119 Kingsway","· 020 8129 1609","""the  here is amazing and the staff are very friendly!""","bubble tea","https://www.instagram.com/truedanuk/","Directions","","Open","Website","https://www.google.com/maps/dir//Truedan+Holborn+%E7%8F%8D%E7%85%AE%E4%B8%B9,+119+Kingsway,+London+WC2B+6PP/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b891ec86845:0xd0d9905f37307879?sa=X&ved=1t:57443&ictx=111"
"HEYTEA (Baker Street)","· Bubble tea store","4.7","(286)","⋅ Closes 10 pm","45 Baker St","· 020 3337 0146","""Very authentic  and fruit  made with high quality milk.""","boba tea","","Directions","","Open","","https://www.google.com/maps/dir//HEYTEA+(Baker+Street),+45+Baker+St,+London+W1U+7EU/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761becc86f8eb5:0xc0a930ebc06b85cf?sa=X&ved=1t:57443&ictx=111"
"CUPP Bubble Tea - Peckham","·  · Bubble tea store","4.7","(657)","££","41 Peckham High St","· 07958 306787","""The staff are really friendly and the  is delicious""","bubble tea","https://www.cuppbubbletea.co.uk/home","Directions","⋅ Closes 11 pm","Open","Website","https://www.google.com/maps/dir//CUPP+Bubble+Tea+-+Peckham,+41+Peckham+High+St,+London+SE15+5EB/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876032e3429c737:0xe23b6258d7fa2244?sa=X&ved=1t:57443&ictx=111"
"Bubble Magik","· Bubble tea store","4.7","(363)","⋅ Closes 10 pm","4th floor, Selfridges, 400 Oxford St","","""The staff are the absolute sweetest and the  is always delicious!""","bubble tea","http://www.bubblemagik.com/","Directions","","Open","Website","https://www.google.com/maps/dir//4th+floor,+Bubble+Magik,+Selfridges,+400+Oxford+St,+London+W1A+1AB/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876050ade711e75:0x881b71dda0bb793c?sa=X&ved=1t:57443&ictx=111"
"Boba Me","· Bubble tea store","4.2","(98)","⋅ Closes 10:30 pm","2 Settles St","","""Excellent  and Excellent homemade brownies.""","Bubble Tea","https://www.facebook.com/profile.php?id=61550602677640","Directions","","Open","Website","https://www.google.com/maps/dir//Boba+Me,+2+Settles+St,+London+E1+1JP/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761de125991b97:0x31b53406e4bcba13?sa=X&ved=1t:57443&ictx=111"
"Yunique Bubble Tea","· Bubble tea store","4.3","(475)","⋅ Closes 11 pm","10 Little Newport St","","""Serves a variety of , fruit , brown sugar milk and more.""","bubble tea","","Directions","","Open","","https://www.google.com/maps/dir//Yunique+Bubble+Tea,+10+Little+Newport+St,+London+WC2H+7JJ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605d37f544eb1:0x4257dc4992963f08?sa=X&ved=1t:57443&ictx=111"
"Camden Tea Bar","· Bubble tea store","5.0","(1.9K)","⋅ Closes 6 pm","1st Floor, 90- 92 Camden Lock Pl","· 020 7428 9211","""Beautifully decorated  and a wide selection of  for all tastes.""","teas","https://camdentea.shop/","Directions","","Open","Website","https://www.google.com/maps/dir//1st+Floor,+Camden+Tea+Bar,+90-+92+Camden+Lock+Pl,+London+NW1+8AF/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b95c00d628b:0x6782e9235a320fdb?sa=X&ved=1t:57443&ictx=111"
"","","","","","","","","","","","","","",""
