"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","uDyWh 2","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","rllt__details 6"
"Tea Parlour","· Bubble tea store","4.9","(273)","⋅ Closes 9 pm","17 Whitcomb St.","","Open","""Really delicious  and clean, peaceful environment!""","bubble tea","https://teaparlour.co.uk/","Website","https://www.google.com/maps/dir//WC2H+7HA,+London,+Whitcomb+St.,+Tea+Parlour/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876053f089de7e1:0x452e604698c3cdc2?sa=X&ved=1t:57443&ictx=111","Directions",""
"Xing Fu Tang","· Bubble tea store","4.1","(1.1K)","⋅ Closes 10 pm","29 Frith St","","Open","""The  was amazing and the  is homemade, which you can tell.""","bubble tea","https://www.xingfutang.co.uk/","Website","https://www.google.com/maps/dir//Xing+Fu+Tang,+29+Frith+St,+London+W1D+5LG/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605c74bfd9387:0x908c248794583119?sa=X&ved=1t:57443&ictx=111","Directions","· 020 7287 8310"
"Hello Boba","· Bubble tea store","4.9","(110)","⋅ Closes 9 pm","188 Lower Rd","","Open","""Super friendly staff and very tasty  for decent price""","bubble tea","","","https://www.google.com/maps/dir//Hello+Boba,+188+Lower+Rd,+London+SE16+2UN/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876030b8e323dab:0x5097334d6ddae979?sa=X&ved=1t:57443&ictx=111","Directions","· 07540 994398"
"Lucky Tea","· Bubble tea store","4.7","(1.1K)","⋅ Closes 11 pm","35 Newport Ct","","Open","""Very nice  with many options and toppings.""","bubble tea","http://www.instagram.com/luckyteauk","Website","https://www.google.com/maps/dir//Lucky+Tea,+35+Newport+Ct,+London+WC2H+7PQ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605db6a59b49d:0x2761417f9d7dd68a?sa=X&ved=1t:57443&ictx=111","Directions",""
"Bubble Tea Lagoon New Road","· Bubble tea store","4.8","(215)","⋅ Closes 11:30 pm","22 New Rd","","Open","""Lovely , great friendly staff and warm and inviting atmosphere!""","Bubble Tea","","","https://www.google.com/maps/dir//Bubble+Tea+Lagoon+New+Road,+22+New+Rd,+London+E1+2AX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761da0f67763a7:0xdcde6ce80ed88130?sa=X&ved=1t:57443&ictx=111","Directions","· 07555 659313"
"Nuttea","·  · Bubble tea store","4.6","(472)","££","5 Noel St","⋅ Closes 8:30 pm","Open","""Their  drinks are all vegan and natural with big bold flavors.""","bubble tea","http://www.nuttea.net/","Website","https://www.google.com/maps/dir//Nuttea,+5+Noel+St,+London+W1F+8GD/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b971c29c41f:0x516cd8bff0aefdb9?sa=X&ved=1t:57443&ictx=111","Directions","· 020 7287 3762"
"Lai Cha","· Bubble tea store","4.9","(252)","⋅ Closes 7 pm","133a Deptford High St","","Open","""Lovely atmosphere with a great selection of food and .""","bubble tea","","","https://www.google.com/maps/dir//Lai+Cha,+133a+Deptford+High+St,+London+SE8+4NS/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760343eda78a13:0x4838f96a1c7dc98d?sa=X&ved=1t:57443&ictx=111","Directions","· 020 3876 8107"
"Bubble Blast","· Bubble tea store","4.8","(528)","⋅ Closes 11 pm","275 Hackney Rd","","Open","""Amazing  with lots of combinations and friendly staff.""","bubble tea","","","https://www.google.com/maps/dir//Bubble+Blast,+275+Hackney+Rd,+London+E2+8NA/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d8f1fdd73bd:0xd5ed2e854d3669ab?sa=X&ved=1t:57443&ictx=111","Directions","· 020 7033 4004"
"Bubbleology Soho","·  · Bubble tea store","4.0","(1.2K)","££","49 Rupert St","⋅ Closes 12 am","Open","""Very delicious , fast service and very kind service.""","bubble teas","http://www.bubbleology.co.uk/","Website","https://www.google.com/maps/dir//Bubbleology+Soho,+49+Rupert+St,+London+W1D+7PF/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b350423ab49:0x9323014e8903aa50?sa=X&ved=1t:57443&ictx=111","Directions","· 020 7494 4231"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
