"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","uDyWh 2","yYlJEf href","UbRuwe","BSaJxc","yYlJEf href 2","rllt__details 6"
"Gong cha Covent Garden","· Bubble tea store","4.2","(326)","3 Garrick St","· 020 3581 1059","⋅ Closes 10 pm","Open",""" was fresh, pearls soft,  was fragrant and quality.""","Bubble tea","http://www.gong-cha.co.uk/","Directions","Website","https://www.google.com/maps/dir//Gong+cha+Covent+Garden,+3+Garrick+St,+London+WC2E+9BF/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760545b1a8fcb3:0x417916bbfaa62b90?sa=X&ved=1t:57443&ictx=111",""
"HEYTEA (Holborn)","· Tea room","4.4","(334)","272 High Holborn","· 07311 811907","⋅ Closes 10 pm","Open","""The service staff is amazing and the  is spot on!!""","bubble tea","","Directions","","https://www.google.com/maps/dir//London,+High+Holborn,+HEYTEA+(Holborn)%E9%83%B5%E5%8D%80%E7%B7%A8%E8%99%9F:+WC1V+7EY/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b03d8352bdb:0xd85961054073f9bf?sa=X&ved=1t:57443&ictx=111",""
"Bubble and Chai","·  · Bubble tea store","4.6","(102)","Aldgate East, 17 White Church Ln","· 07539 483103","£1–10","Open","""Love the , great service, beautiful decor and lovely staff.""","bubble tea","https://tableagent.com/r/bubble-chai/","Directions","Website","https://www.google.com/maps/dir//Bubble+and+Chai,+Aldgate+East,+17+White+Church+Ln,+London+E1+7QR/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d889ec37ba9:0xe409c03ad8a3c98a?sa=X&ved=1t:57443&ictx=111","⋅ Closes 10 pm"
"MudCha London","· Bubble tea store","4.2","(96)","168 New Cavendish St","· 07454 003374","⋅ Closes 9 pm","Open","""Delicious  from a friendly and welcoming team.""","bubble tea","","Directions","","https://www.google.com/maps/dir//MudCha+London,+168+New+Cavendish+St,+London+W1W+6YX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b095a4e29d3:0xb28cc7bdb4763bfb?sa=X&ved=1t:57443&ictx=111",""
"Mooboo Greenwich","·  · Bubble tea store","4.2","(166)","224 Trafalgar Rd","","££","Open","""Great , great waffles, exceptional customer service.""","tea","https://www.mooboo.co/","Directions","Website","https://www.google.com/maps/dir//Mooboo+Greenwich,+224+Trafalgar+Rd,+London+SE10+9ER/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a944162efdb3:0x9fa3a4ca43c0bc79?sa=X&ved=1t:57443&ictx=111","⋅ Closes 9:30 pm"
"Happy Lemon","·  · Bubble tea store","4.0","(748)","24A Newport Ct","· 020 7734 1966","£","Open","""I got the milk , it was very filling and worth the price""","bubble tea","http://www.happy-lemon.co.uk/","Directions","Website","https://www.google.com/maps/dir//Happy+Lemon,+24A+Newport+Ct,+London+WC2H+7JS/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487604d278cf344b:0x2c00f62a7ff19901?sa=X&ved=1t:57443&ictx=111","⋅ Closes 11 pm"
"Hello Boba - Battersea","· Bubble tea store","4.7","(60)","157 Battersea Park Rd","","⋅ Closes 9 pm","Open","""Delicious , amazing atmosphere, and even better customer service.""","bubble tea","","Directions","","https://www.google.com/maps/dir//Hello+Boba+-+Battersea,+157+Battersea+Park+Rd,+Nine+Elms,+London+SW8+4BU/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605240bc74fab:0xf0ae35772eb3f20d?sa=X&ved=1t:57443&ictx=111",""
"BoBAR Bubble Tea - Bow","· Bubble tea store","4.4","(308)","617 Roman Rd","","⋅ Closes 2 am","Open","""Lovely experience, great prices and overall  is super tasty!!""","bubble tea","https://www.bobarlondon.com/","Directions","Website","https://www.google.com/maps/dir//BoBAR+Bubble+Tea+-+Bow,+617+Roman+Rd,+Bow,+London+E3+2RN/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d80c15f6967:0x7ebbf78b63c11dad?sa=X&ved=1t:57443&ictx=111",""
"BoBAR","· Bubble tea store","4.6","(898)","324C Hackney Rd","","⋅ Closes 2 am","Open","""The staff was very nice and it was the best  I ever tasted!""","bubble tea","https://www.bobarlondon.com/","Directions","Website","https://www.google.com/maps/dir//BoBAR,+324C+Hackney+Rd,+London+E2+7AX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d3ef9494109:0x3cb1add8ee7e93e3?sa=X&ved=1t:57443&ictx=111",""
"Bubbleology Westfield London","·  · Bubble tea store","4.3","(799)","Kiosk K2212, 1st Floor, Westfield, Ariel Way","· 020 8740 1757","££","Open","""Great service and the  tasted very good""","bubble tea","http://www.bubbleology.co.uk/","Directions","Website","https://www.google.com/maps/dir//Bubbleology+Westfield+London,+Kiosk+K2212,+1st+Floor,+Westfield,+Ariel+Way,+London+W12+7GF/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760f05a386db63:0x9e126a9e3a325c20?sa=X&ved=1t:57443&ictx=111","⋅ Closes 10 pm"
"","","","","","","","","","","","","","",""
