"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","rllt__details 6","uDyWh","uDyWh 2","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe"
"Boba Box - UK & EU's Largest Premium Bubble Tea Supplier - BRCGS Certificated","·  · Wholesaler","4.1","(61)","5 Margaret St","· 020 3856 5880","£","Open","⋅ Closes 4 pm","""Amazing products has a large variety of flavours very good customer service""","","https://bobabox.co.uk/","Website","https://www.google.com/maps/dir//Boba+Box+-+UK+%26+EU's+Largest+Premium+Bubble+Tea+Supplier+-+BRCGS+Certificated,+5+Margaret+St,+London+W1W+8RG/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876052b26182849:0x5603c6e635379842?sa=X&ved=1t:57443&ictx=111","Directions"
"May's Sweet Bite","·  · Cafe","4.6","(203)","4 Lisle St","· 020 3489 9947","£1–10","Open","⋅ Closes 11 pm","""Cheap, delicious  made very quickly.""","bubble tea","http://bigfoodies.co.uk/","Website","https://www.google.com/maps/dir//May's+Sweet+Bite,+4+Lisle+St,+London+WC2H+7BG/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605691fc144cf:0xa10ce9e9e1a3247d?sa=X&ved=1t:57443&ictx=111","Directions"
"Yi Fang Fruit Tea Old Spitalfields Market","· Bubble tea store","4.1","(441)","Old Spitalfields Market, 16 Horner Square","· 07436 781588","⋅ Closes 6:30 pm","Open","","""So chewy and fresh, made my  experience even better...""","bubble tea","","","https://www.google.com/maps/dir//Yi+Fang+Fruit+Tea+Old+Spitalfields+Market,+Old+Spitalfields+Market,+16+Horner+Square,+London+E1+6EW/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761cb41061c6d3:0xa9bb5231e8dbb1a7?sa=X&ved=1t:57443&ictx=111","Directions"
"SIPP Bubble Tea","· Bubble tea store","4.8","(169)","44 Balls Pond Rd","· 020 7249 8797","⋅ Closes 10 pm","Open","","""Friendly service, delicious  and a huge range of flavours.""","bubble tea","https://instagram.com/sippbubbletea?utm_medium=copy_link","Website","https://www.google.com/maps/dir//SIPP+Bubble+Tea,+44+Balls+Pond+Rd,+London+N1+4AP/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d7e3067cc49:0x54a106686fafa4e6?sa=X&ved=1t:57443&ictx=111","Directions"
"Chatime","· Bubble tea store","3.9","(219)","The Vaults, Kiosk B, 1-12 Tower Hill","· 07936 739636","⋅ Closes 7:30 pm","Open","","""Great , great customer service and well priced.""","tea","http://www.chatimeuk.com/","Website","https://www.google.com/maps/dir//Chatime,+The+Vaults,+Kiosk+B,+1-12+Tower+Hill,+London+EC3N+4EE/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876034e9b040e8d:0x6edbc724e5c179f6?sa=X&ved=1t:57443&ictx=111","Directions"
"HiGuys盖市茶饮","· Bubble tea store","4.7","(90)","231 Walworth Rd","· 07470 034356","⋅ Closes 9:30 pm","Open","","""My  was delicious and they let me use my reusable cup to takeaway.""","bubble tea","https://higuyslondon.square.site/?item=5#most-popular","Website","https://www.google.com/maps/dir//HiGuys%E7%9B%96%E5%B8%82%E8%8C%B6%E9%A5%AE,+231+Walworth+Rd,+London+SE17+1RL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605e658aadfb3:0x7d0bdfe1df2ba040?sa=X&ved=1t:57443&ictx=111","Directions"
"Bubbleology South Kensington","·  · Bubble tea store","4.1","(456)","23 Cromwell Pl","· 020 7584 1171","££","Open","⋅ Closes 11 pm","""The  was absolutely delicious, perfectly made and refreshing.""","bubble tea","http://bubbleology.co.uk/","Website","https://www.google.com/maps/dir//Bubbleology+South+Kensington,+23+Cromwell+Pl,+South+Kensington,+London+SW7+2LD/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760542bd58e081:0x9ec84bdf53d37fec?sa=X&ved=1t:57443&ictx=111","Directions"
"Chayan","· Bubble tea store","4.8","(197)","40 Eastcheap","","⋅ Closes 10 pm","Open","","""Great tasting  and friendly service""","tea","","","https://www.google.com/maps/dir//Chayan,+40+Eastcheap,+London+EC3R+5DD/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487603002a632195:0xe7c3e86aeabf7c3e?sa=X&ved=1t:57443&ictx=111","Directions"
"Bubbleology Bloomsbury","·  · Bubble tea store","4.2","(225)","40 a Museum St","· 020 7062 7258","££","Open","⋅ Closes 9 pm","""The best  I’ve ever had😋 Super clean and nice staff!""","bubble tea","http://www.bubbleology.co.uk/","Website","https://www.google.com/maps/dir//Bubbleology+Bloomsbury,+40+a+Museum+St,+London+WC1A+1LU/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bf3b5678ea9:0xe3c61cbf181c2a5f?sa=X&ved=1t:57443&ictx=111","Directions"
"T4 Dalston","· Bubble tea store","4.8","(157)","535 Kingsland Rd","· 07378 897880","⋅ Closes 10 pm","Open","","""Perfect  every time, lovely service and staff are super friendly""","bubble tea","https://www.t4.co.uk/","Website","https://www.google.com/maps/dir//T4+Dalston,+535+Kingsland+Rd,+London+E8+4AR/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761df7ce47a125:0x84eb6849fcc15d44?sa=X&ved=1t:57443&ictx=111","Directions"
"","","","","","","","","","","","","","",""
